,text
42,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
43,"Tens Of Thousands Of Black Women Vanish Each Year. This Website Tells Their Stories #cdnpolitics #stolensisters #BlackLivesMatter #BlackHistoryMonth #BlackTechTwitter #AfricansinUkraine 

https://t.co/mS1TGHHOQv"
44,"RT @michelletauber: Tireless @MomsDemand warriors for our community. Honoring #TrayvonMartin with action every day, in the birthplace of #B…"
45,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
46,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…"
47,Survival is more important than the society.. Can't everyone just try and survive instead of being racist in war front?? Ukrainian are doing it all wrong. #BlackLivesMatter #racism
48,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
49,"National Black History Month serves as both a celebration and a powerful reminder that Black history is American history, Black culture is American culture, and Black stories are essential to the ongoing story of America_ President Biden
#BlackLivesMatter #racism https://t.co/YVVrrVsPil"
50,@choeshow @MayorofSeattle @downtownseattle @SeattlePD #BlackLivesMatter peace protest?
51,"RT @michelletauber: Tireless @MomsDemand warriors for our community. Honoring #TrayvonMartin with action every day, in the birthplace of #B…"
52,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
53,"Russian troops advance on Kyiv as Ukraine continues to resist 

https://t.co/7G9t9qbrNW  #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
54,"RT @chemos_hodavia: Africans being discriminated in Ukraine. So sad to see this
#racism #Ukraine #Blacklivesmatter https://t.co/V8dogPAAzR"
55,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
56,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
57,"RT @BigSmallKe: If putin was an African leader, Nato  would have murdered him like Muammar Gaddafi 

#BlackLivesMatter
#RacistEU https://t.…"
58,@KellyCobiella shame on you racist #StopRacism #BlackLivesMatter #CNBC
59,When @JennieNguyenLuv said “Everyone is capable of being racist.” I hope she included herself in that statement. Also it’s disgusting that she keeps condemning @Mary_M_Cosby when she said such hateful things against #BlackLivesMatter and black people. #RHOSLC
60,"RT @gregorydice: Sundays are for ELDEN RING.

WE ARE LIVE!

https://t.co/AZFY4lAoTT

#blacklivesmatter https://t.co/D8M3ulOLR2"
61,"Sundays are for ELDEN RING.

WE ARE LIVE!

https://t.co/AZFY4lAoTT

#blacklivesmatter https://t.co/D8M3ulOLR2"
62,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
63,"AUDIO: Can’t Black Lives Matter Too??? | Mprisondpoetz

#prison #prisonart #poet #jailpoetry #prisonerpoet #poetrycommunity #audio #blm #blacklivesmatter #blackexcellence #ados #poem

Follow us @Darealprisonart
https://t.co/qUp9Vli0Hg"
64,Black People could not ever be considered Racist and “If” we are it’s because what we live @BravoTV what is going on with #RHOSLC the Asian lady trying to get camera time on Mary calling a black woman racist and calling herself a woman of color this is a joke #BlackLivesMatter
65,"RT @CherylBlueWave: First, recognize white privilege and how it infairly benefits them. Then, set their privilege aside.

🔥 White Privilege…"
66,"RT @YH_INDIA: Saw videos of Ukranian army treating #indianstudentsinukraine &amp; #AfricansinUkraine badly.

I mean are they really doing this…"
67,How white women’s “investment” in slavery has shaped America today https://t.co/pPnd7q0Lx5 #cdnpolitics #BlackLivesMatter #blackowned #BlackTwitter #BlackTechTwitter #AfricansinUkraine #AfricansAndAfricanAmericans #africanInUkraine #slavery #racism #humantrafficking #HumanRights
68,RT @PrentonTommy: Here are some facts that expose your #BlackLivesMatter sham https://t.co/OAliNHw1Oa
69,"Do you know that Florida led the nation in number of lynching for over a decade? Dr. Butler shares that and other #blackhistory stories on Strong Inspirations #blackhistory #blackhistorymonth #BlackLivesMatter #Blackhistorymonth2022 @AfricanaCarr 
https://t.co/fOsg4jJSQh"
70,Defund the Jericho Police #BlackLivesMatter #DefundThePolice
71,"RT @CherylBlueWave: First, recognize white privilege and how it infairly benefits them. Then, set their privilege aside.

🔥 White Privilege…"
72,"RT @DistrictBmore: Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great B…"
73,"RT @DistrictBmore: Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great B…"
74,RT @Speech__: https://t.co/qLTWgxwtLE💥💥🙌🏽🙌🏽 2022 TOUR DATES AROUND THE WORLD! #arresteddevelopment #blacklivesmatter #dontfightyourdemons #…
75,"It gonna be worse than before, we are coming for you UKRAINE. 

#istandwithrussia 
 #BlackLivesMatter"
76,"RT @PrentonTommy: ""The #BlackLivesMatter    movement is the greatest lie ever told,"" 👇 https://t.co/evK5DCO0cw"
77,"@TiCkToCkcLoC @mommy97giraffe Right?!? Fuck. #BlackLivesMatter always, and EVERYWHERE."
78,"📢📣⚠️➡️ #TrayvonMartin 👑🕊Up to 18,000 killed under stand-your-ground laws since 2012. Why has nothing changed? | The Independent #JusticeforTrayvonMartin 👑🕊#SayTheirNames 👑 KNOWN 👑🕊UNKNOWN 👑🕊 #BlackLivesMatter  https://t.co/cR4NRft8LA"
79,"RT @jjlynn5110_jo: I can't explain my #emotions right now. 
#BlackLivesMatter is our everyday!🤎♥️🤎
I'm so grateful we can celebrate ourselv…"
80,"Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great Blacks In Wax Museum, Dr. Joanne Martin about the importance of preserving and celebrating black history.
#BHM2022 #BlackLivesMatter  #mybmore https://t.co/h7PnuPv5kK"
81,RT @CCGarriseauxn: Happy Fourth and Final Black History Month Sunday 2022. I Love You. God Bless You ❤️❤️❤️👑❤🖤💚❤🖤💚👑❤️❤️❤️ #HappyBlackHistor…
82,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
83,"I cannot stand with anyone until Black people are treated like human beings — with dignity and respect. 

If you know of any organizations, etc. to help Black people find refuge in/out of Ukraine, please let me know. This is so disheartening. 
#AfricansinUkraine #BlackLivesMatter"
84,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…"
85,"Emantic ""EJ"" Fitzgerald Bradford Jr. #BlackLivesMatter"
86,"Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great Blacks In Wax Museum, Dr. Joanne Martin about the importance of preserving and celebrating black history.

#BlackHistoryMonth #BlackLivesMatter #mybmore https://t.co/y8wmZSbhQb"
87,"Weekday Mornings 8am PT on @nbcnews radio station @kcaaradio AM 1050 FM 102.3 106.5 https://t.co/2PdU22ETRy Or FREE SUBSCRIBE https://t.co/ufvnEdnyNq
#solutions #whatsrightabouttheworld #happy88 #blacklivesmatter #BlackHistoryMonth #drmarissareportinglive"
88,RT @CaptainM_38: I think Ukraine must be nuked. Because they are not treating well with blacks and indians. #Putin #Africans  #UkraineRussi…
89,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
90,"RT @SamBerretti: #SundayThoughts :: #SundayVibes
#BlackHistoryMonth 
Although we all vaguely know about the Egyptians, not many know about…"
91,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…"
92,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
93,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
94,RT @CaptainM_38: I think Ukraine must be nuked. Because they are not treating well with blacks and indians. #Putin #Africans  #UkraineRussi…
95,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…"
96,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…"
97,Happy Fourth and Final Black History Month Sunday 2022. I Love You. God Bless You ❤️❤️❤️👑❤🖤💚❤🖤💚👑❤️❤️❤️ #HappyBlackHistoryMonth #BlackHistoryMonth #BHM #BlackHistoryIsAmericanHistory #BlackHistory365 #365Black #BlackIsBeautiful #BeautifulIsBlack #BlackLivesMatter #BLM https://t.co/8Ek4D6ZY6e
98,"I can't explain my #emotions right now. 
#BlackLivesMatter is our everyday!🤎♥️🤎
I'm so grateful we can celebrate ourselves in such deep evolving journey; it's hard but we're worth it! 

#Love #Soul #Peace #BlackPeople 

Summer of Soul Summer of Soul https://t.co/XprZBXZlEx"
99,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
100,"RT @PrentonTommy: ""The #BlackLivesMatter    movement is the greatest lie ever told,"" 👇 https://t.co/evK5DCO0cw"
101,RT @Speech__: https://t.co/qLTWgxwtLE💥💥🙌🏽🙌🏽 2022 TOUR DATES AROUND THE WORLD! #arresteddevelopment #blacklivesmatter #dontfightyourdemons #…
102,"RT @CherylBlueWave: First, recognize white privilege and how it infairly benefits them. Then, set their privilege aside.

🔥 White Privilege…"
103,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
